emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,fx,fy,fz,x,y,z,rx,ry,rz,t
-1,-14,-29,-7,-1,-1,-4,-12,-6.4979079080204745,-7.399099248291294,2.060351077283238,43.21568298339844,662.5650024414062,156.00869750976562,86.02072143554688,176.0231475830078,102.48600769042969,56.05390524864197
-1,-12,-5,3,-3,-1,1,1,-6.4979079080204745,-7.399099248291294,2.060351077283238,43.21568298339844,662.5650024414062,156.00869750976562,86.02072143554688,176.0231475830078,102.48600769042969,56.05390524864197
-2,-2,-8,-4,-2,-4,0,-3,-6.285575758246894,-7.310993599039516,2.1026228410823453,42.719173431396484,662.0526733398438,156.06240844726562,86.02696990966797,176.02120971679688,102.48823547363281,56.06893515586853
1,23,19,0,3,2,0,5,-6.285575758246894,-7.310993599039516,2.1026228410823453,42.719173431396484,662.0526733398438,156.06240844726562,86.02696990966797,176.02120971679688,102.48823547363281,56.06893515586853
-1,-31,-18,9,-1,-1,-2,-1,-6.285575758246894,-7.310993599039516,2.1026228410823453,42.719173431396484,662.0526733398438,156.06240844726562,86.02696990966797,176.02120971679688,102.48823547363281,56.06893515586853
-4,10,18,0,-1,1,0,-1,-6.285575758246894,-7.310993599039516,2.1026228410823453,42.719173431396484,662.0526733398438,156.06240844726562,86.02696990966797,176.02120971679688,102.48823547363281,56.06893515586853
-4,-7,15,13,3,2,2,-1,-6.296497444638701,-7.288065190739406,1.986513125436591,41.54327392578125,660.823974609375,156.19332885742188,86.03398132324219,176.0212860107422,102.49996948242188,56.099268198013306
2,-10,4,-1,0,0,2,-4,-6.296497444638701,-7.288065190739406,1.986513125436591,41.54327392578125,660.823974609375,156.19332885742188,86.03398132324219,176.0212860107422,102.49996948242188,56.099268198013306
0,12,6,3,1,-2,-1,-4,-6.296497444638701,-7.288065190739406,1.986513125436591,41.54327392578125,660.823974609375,156.19332885742188,86.03398132324219,176.0212860107422,102.49996948242188,56.099268198013306
-1,14,-8,-7,1,0,-2,-3,-6.296497444638701,-7.288065190739406,1.986513125436591,41.54327392578125,660.823974609375,156.19332885742188,86.03398132324219,176.0212860107422,102.49996948242188,56.099268198013306
6,-24,-8,6,1,2,1,5,-6.454871650485375,-7.3151602282415285,2.0668291458726262,41.256900787353516,660.52392578125,156.2239227294922,86.03520965576172,176.021240234375,102.50067901611328,56.10914969444275
-3,2,32,4,0,-2,0,-7,-6.454871650485375,-7.3151602282415285,2.0668291458726262,41.256900787353516,660.52392578125,156.2239227294922,86.03520965576172,176.021240234375,102.50067901611328,56.10914969444275
-2,6,17,0,-2,-2,-1,-2,-6.394913003741133,-7.274847888192626,2.061574199063873,41.04963684082031,660.3034057617188,156.2531280517578,86.038330078125,176.0196075439453,102.5051040649414,56.114176750183105
1,-21,-6,1,-2,-4,-6,-21,-6.394913003741133,-7.274847888192626,2.061574199063873,41.04963684082031,660.3034057617188,156.2531280517578,86.038330078125,176.0196075439453,102.5051040649414,56.114176750183105
0,18,-2,0,2,2,2,7,-6.195306789070924,-7.180679750809227,2.0659380964237726,40.53103256225586,659.7349243164062,156.32778930664062,86.03768920898438,176.0219268798828,102.50419616699219,56.12891435623169
7,-11,-32,-8,-4,-4,-4,6,-6.195306789070924,-7.180679750809227,2.0659380964237726,40.53103256225586,659.7349243164062,156.32778930664062,86.03768920898438,176.0219268798828,102.50419616699219,56.12891435623169
-4,-4,-3,-3,-1,-2,-5,-20,-6.195306789070924,-7.180679750809227,2.0659380964237726,40.53103256225586,659.7349243164062,156.32778930664062,86.03768920898438,176.0219268798828,102.50419616699219,56.12891435623169
-6,7,26,5,1,0,2,11,-6.195306789070924,-7.180679750809227,2.0659380964237726,40.53103256225586,659.7349243164062,156.32778930664062,86.03768920898438,176.0219268798828,102.50419616699219,56.12891435623169
0,-2,-18,-4,-1,0,2,2,-6.226553828667854,-7.317490768043499,2.155951096517692,39.89772033691406,659.0567626953125,156.4202880859375,86.0411376953125,176.02291870117188,102.50245666503906,56.14883804321289
-2,-9,27,9,-2,-6,-4,-7,-6.226553828667854,-7.317490768043499,2.155951096517692,39.6905403137207,658.8274536132812,156.4580841064453,86.0387191772461,176.0233612060547,102.50065612792969,56.15361142158508
-2,1,25,9,3,2,2,1,-6.2183949105908445,-7.408393065107873,2.157951399735752,39.6905403137207,658.8274536132812,156.4580841064453,86.0387191772461,176.0233612060547,102.50065612792969,56.15461206436157
-1,0,-14,-4,-5,-3,-2,7,-6.2183949105908445,-7.408393065107873,2.157951399735752,39.6905403137207,658.8274536132812,156.4580841064453,86.0387191772461,176.0233612060547,102.50065612792969,56.15461206436157
4,-10,-10,3,1,0,-2,-19,-6.217462733721881,-7.396794551673595,2.222525993716488,38.82302474975586,657.8723754882812,156.58079528808594,86.03655242919922,176.02520751953125,102.49848937988281,56.17919969558716
-1,15,-12,-9,0,1,0,5,-6.217462733721881,-7.396794551673595,2.222525993716488,38.82302474975586,657.8723754882812,156.58079528808594,86.03655242919922,176.02520751953125,102.49848937988281,56.17919969558716
-1,0,-7,-9,-3,-1,-1,7,-6.217462733721881,-7.396794551673595,2.222525993716488,38.82302474975586,657.8723754882812,156.58079528808594,86.03655242919922,176.02520751953125,102.49848937988281,56.17919969558716
0,-20,-6,2,3,2,2,-3,-6.243146911494553,-7.3273503556873365,2.2298976519339853,38.82302474975586,657.8723754882812,156.58079528808594,86.03655242919922,176.02520751953125,102.49848937988281,56.17919969558716
2,9,15,4,1,0,0,-5,-6.25873150909821,-7.4035295982971885,2.210242926647145,38.480045318603516,657.487060546875,156.6296844482422,86.03458404541016,176.02642822265625,102.49507141113281,56.18911361694336
3,-10,-37,-10,-5,-2,-3,0,-6.257971011080696,-7.35749807574407,2.220486131856257,38.480045318603516,657.487060546875,156.6296844482422,86.03458404541016,176.02642822265625,102.49507141113281,56.18962383270264
1,-2,-12,-2,-3,-2,1,10,-6.257971011080696,-7.35749807574407,2.220486131856257,38.480045318603516,657.487060546875,156.6296844482422,86.03458404541016,176.02642822265625,102.49507141113281,56.18962383270264
2,-6,-20,-5,0,-1,-1,-5,-6.257971011080696,-7.35749807574407,2.220486131856257,38.271949768066406,657.2574462890625,156.6663818359375,86.03732299804688,176.025634765625,102.49871826171875,56.19422268867493
-3,14,30,-3,-3,-2,0,-2,-6.12289813916718,-7.256317105641369,2.2267846375501987,37.73918533325195,656.6762084960938,156.75051879882812,86.0396499633789,176.02670288085938,102.50276947021484,56.208956480026245
-3,9,-62,-22,-4,-2,-4,-6,-6.12289813916718,-7.256317105641369,2.2267846375501987,37.73918533325195,656.6762084960938,156.75051879882812,86.0396499633789,176.02670288085938,102.50276947021484,56.208956480026245
-2,-34,19,16,2,-2,-1,3,-6.12289813916718,-7.256317105641369,2.2267846375501987,37.73918533325195,656.6762084960938,156.75051879882812,86.0396499633789,176.02670288085938,102.50276947021484,56.20995879173279
-1,-2,1,-1,-2,-3,-1,-5,-6.12289813916718,-7.256317105641369,2.2267846375501987,37.60089874267578,656.5225219726562,156.7775421142578,86.03718566894531,176.0267333984375,102.49980926513672,56.214064836502075
-3,6,2,-7,-4,-4,-1,4,-5.950163347350019,-7.313924156645879,2.2330100505099226,36.76953125,655.5983276367188,156.94427490234375,86.03572082519531,176.02516174316406,102.50226593017578,56.23821473121643
-2,7,3,-2,0,1,0,0,-5.950163347350019,-7.313924156645879,2.2330100505099226,36.76953125,655.5983276367188,156.94427490234375,86.03572082519531,176.02516174316406,102.50226593017578,56.239217042922974
0,15,4,-6,-4,1,-2,-2,-5.861590772232675,-7.500192488645935,2.4125382408529523,35.838375091552734,654.5573120117188,157.10755920410156,86.02857208251953,176.02395629882812,102.49287414550781,56.26457619667053
